ts,lat,lon,alt_msl,rel_alt,mode,armed,wp_idx,obs_count,nearest_obs_dist_m,evasion_active,evasion_path_len,evasion_path_idx
1785499970.2633965,42.229695,-1.2350851,500.08,-0.012,STABILIZE,0,1,0,,0,0,0
1785499970.7662861,42.229695,-1.2350851,500.08,0.007,GUIDED,0,1,0,,0,0,0
1785499971.2679582,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785499971.7703338,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785499972.2725966,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785499972.7747834,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785499973.277243,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785499973.7797427,42.229695,-1.2350851,500.13,0.057,GUIDED,1,1,0,,0,0,0
1785499974.282108,42.229695,-1.2350851,500.44,0.367,GUIDED,1,1,0,,0,0,0
1785499974.7846541,42.229695,-1.235085,501.17,1.095,GUIDED,1,1,0,,0,0,0
1785499975.2869112,42.229695,-1.2350849,502.03,1.95,GUIDED,1,1,0,,0,0,0
1785499975.7891345,42.229695,-1.2350848,503.39,3.31,GUIDED,1,1,0,,0,0,0
1785499976.2907174,42.229695,-1.2350848,504.67,4.591,GUIDED,1,1,0,,0,0,0
1785499976.7934916,42.229695,-1.2350847,506.19,6.114,GUIDED,1,1,0,,0,0,0
1785499977.295516,42.229695,-1.2350847,507.43,7.355,GUIDED,1,1,0,,0,0,0
1785499977.7976363,42.229695,-1.2350847,508.92,8.841,GUIDED,1,1,0,,0,0,0
1785499978.299499,42.229695,-1.2350847,510.15,10.077,GUIDED,1,1,0,,0,0,0
1785499978.801866,42.229695,-1.2350847,511.64,11.563,GUIDED,1,1,0,,0,0,0
1785499979.3041713,42.229695,-1.2350848,512.88,12.805,GUIDED,1,1,0,,0,0,0
1785499979.806284,42.229695,-1.2350848,514.38,14.305,GUIDED,1,1,0,,0,0,0
1785499980.308274,42.229695,-1.2350848,515.63,15.557,GUIDED,1,1,0,,0,0,0
1785499980.8105333,42.229695,-1.2350848,517.13,17.056,GUIDED,1,1,0,,0,0,0
1785499981.3127918,42.229695,-1.2350848,518.38,18.304,GUIDED,1,1,0,,0,0,0
1785499981.814732,42.229695,-1.2350848,519.88,19.807,GUIDED,1,1,0,,0,0,0
1785499982.3162746,42.229695,-1.2350848,521.14,21.06,GUIDED,1,1,0,,0,0,0
1785499982.8185823,42.229695,-1.2350848,522.64,22.561,GUIDED,1,1,0,,0,0,0
1785499983.320742,42.229695,-1.2350847,523.88,23.809,GUIDED,1,1,0,,0,0,0
1785499983.822863,42.229695,-1.2350847,525.39,25.313,GUIDED,1,1,0,,0,0,0
1785499984.325399,42.229695,-1.2350847,526.64,26.563,GUIDED,1,1,0,,0,0,0
1785499984.8278651,42.229695,-1.2350846,528.14,28.06,GUIDED,1,1,0,,0,0,0
1785499985.329613,42.229695,-1.2350846,529.39,29.311,GUIDED,1,1,0,,0,0,0
1785499985.8315182,42.229695,-1.2350846,530.89,30.817,GUIDED,1,1,0,,0,0,0
1785499986.3340704,42.229695,-1.2350846,532.14,32.069,GUIDED,1,1,0,,0,0,0
1785499986.8362653,42.229695,-1.2350846,533.39,33.317,GUIDED,1,1,0,,0,0,0
1785499987.3382485,42.229695,-1.2350846,534.89,34.817,GUIDED,1,1,0,,0,0,0
1785499987.8406951,42.229695,-1.2350846,536.14,36.068,GUIDED,1,1,0,,0,0,0
1785499988.3426015,42.229695,-1.2350846,537.64,37.565,GUIDED,1,1,0,,0,0,0
1785499988.8455088,42.229695,-1.2350846,538.89,38.812,GUIDED,1,1,0,,0,0,0
1785499989.34813,42.229695,-1.2350846,540.35,40.27,GUIDED,1,1,0,,0,0,0
1785499989.8501256,42.229695,-1.2350847,541.43,41.356,GUIDED,1,1,0,,0,0,0
1785499990.352407,42.229695,-1.2350847,542.54,42.467,GUIDED,1,1,0,,0,0,0
1785499990.855069,42.229695,-1.2350847,543.31,43.238,GUIDED,1,1,0,,0,0,0
1785499991.3567286,42.229695,-1.2350847,544.06,43.987,GUIDED,1,1,0,,0,0,0
1785499991.8594341,42.229695,-1.2350848,544.52,44.449,GUIDED,1,2,0,,0,0,0
1785499992.3617282,42.2296974,-1.2350865,544.76,44.682,GUIDED,1,2,0,,0,0,0
1785499992.8642657,42.229707,-1.2350932,544.78,44.702,GUIDED,1,2,0,,0,0,0
1785499993.367292,42.2297208,-1.235103,544.76,44.686,GUIDED,1,2,0,,0,0,0
1785499993.8698194,42.2297438,-1.2351193,544.77,44.694,GUIDED,1,2,0,,0,0,0
1785499994.3726027,42.2297683,-1.2351364,544.78,44.709,GUIDED,1,2,0,,0,0,0
1785499994.875802,42.2298027,-1.2351609,544.81,44.737,GUIDED,1,2,0,,0,0,0
1785499995.379363,42.2298333,-1.2351821,544.83,44.753,GUIDED,1,2,0,,0,0,0
