ts,lat,lon,alt_msl,rel_alt,mode,armed,wp_idx,obs_count,nearest_obs_dist_m,evasion_active,evasion_path_len,evasion_path_idx
1785496406.8528724,42.229695,-1.235085,500.1,-0.013,STABILIZE,0,1,0,,0,0,0
1785496407.3571386,42.229695,-1.235085,500.1,-0.013,GUIDED,0,1,0,,0,0,0
1785496407.8595083,42.229695,-1.235085,500.08,-0.013,GUIDED,0,1,0,,0,0,0
1785496408.3619227,42.229695,-1.235085,500.08,-0.013,GUIDED,0,1,0,,0,0,0
1785496408.8647802,42.229695,-1.235085,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785496409.3674302,42.229695,-1.235085,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785496409.8697603,42.229695,-1.2350851,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785496410.3723109,42.229695,-1.2350851,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785496410.8751338,42.229695,-1.2350851,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785496411.3780391,42.229695,-1.2350852,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785496411.8810828,42.229695,-1.2350851,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785496412.3837569,42.229695,-1.2350851,500.08,0.007,GUIDED,0,1,0,,0,0,0
1785496412.886688,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785496413.3897176,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785496413.892143,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785496414.3949404,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785496414.8974624,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785496415.3996634,42.229695,-1.2350851,500.1,0.026,GUIDED,1,1,0,,0,0,0
1785496415.902308,42.229695,-1.2350851,500.27,0.191,GUIDED,1,1,0,,0,0,0
1785496416.4046042,42.229695,-1.235085,500.96,0.882,GUIDED,1,1,0,,0,0,0
1785496416.9073708,42.229695,-1.2350849,501.73,1.654,GUIDED,1,1,0,,0,0,0
1785496417.4094262,42.229695,-1.2350849,502.99,2.918,GUIDED,1,1,0,,0,0,0
1785496417.911989,42.229695,-1.2350848,504.26,4.18,GUIDED,1,1,0,,0,0,0
1785496418.4142773,42.229695,-1.2350848,505.79,5.712,GUIDED,1,1,0,,0,0,0
1785496418.9168875,42.229695,-1.2350848,507.04,6.961,GUIDED,1,1,0,,0,0,0
1785496419.4198542,42.229695,-1.2350848,508.28,8.2,GUIDED,1,1,0,,0,0,0
1785496419.922219,42.229695,-1.2350848,509.77,9.69,GUIDED,1,1,0,,0,0,0
1785496420.4242496,42.229695,-1.2350848,511.01,10.933,GUIDED,1,1,0,,0,0,0
1785496420.9267294,42.229695,-1.2350848,512.5,12.427,GUIDED,1,1,0,,0,0,0
1785496421.4293046,42.229695,-1.2350848,513.75,13.675,GUIDED,1,1,0,,0,0,0
1785496421.9312742,42.229695,-1.2350848,515.25,15.175,GUIDED,1,1,0,,0,0,0
1785496422.4338896,42.229695,-1.2350848,516.5,16.424,GUIDED,1,1,0,,0,0,0
1785496422.93728,42.229695,-1.2350848,518.0,17.921,GUIDED,1,1,0,,0,0,0
1785496423.4400375,42.229695,-1.2350848,519.25,19.173,GUIDED,1,1,0,,0,0,0
1785496423.943181,42.229695,-1.2350848,520.75,20.677,GUIDED,1,1,0,,0,0,0
1785496424.4465182,42.229695,-1.2350848,522.0,21.926,GUIDED,1,1,0,,0,0,0
1785496424.9493506,42.229695,-1.2350847,523.25,23.174,GUIDED,1,1,0,,0,0,0
1785496425.4524682,42.229695,-1.2350847,524.75,24.672,GUIDED,1,1,0,,0,0,0
1785496425.9553204,42.229695,-1.2350847,526.0,25.923,GUIDED,1,1,0,,0,0,0
1785496426.4576864,42.229695,-1.2350846,527.25,27.171,GUIDED,1,1,0,,0,0,0
1785496426.9608555,42.229695,-1.2350846,528.74,28.668,GUIDED,1,1,0,,0,0,0
1785496427.4633079,42.229695,-1.2350846,529.99,29.917,GUIDED,1,1,0,,0,0,0
1785496427.9653563,42.229695,-1.2350846,531.49,31.418,GUIDED,1,1,0,,0,0,0
1785496428.467893,42.229695,-1.2350846,532.74,32.666,GUIDED,1,1,0,,0,0,0
1785496428.9703677,42.229695,-1.2350846,533.99,33.915,GUIDED,1,1,0,,0,0,0
1785496429.473355,42.229695,-1.2350846,535.49,35.41,GUIDED,1,1,0,,0,0,0
1785496429.9762015,42.229695,-1.2350846,536.73,36.655,GUIDED,1,1,0,,0,0,0
1785496430.4785671,42.229695,-1.2350846,538.23,38.153,GUIDED,1,1,0,,0,0,0
