ts,lat,lon,alt_msl,rel_alt,mode,armed,wp_idx,obs_count,nearest_obs_dist_m,evasion_active,evasion_path_len,evasion_path_idx
1785495037.4441566,42.229695,-1.235085,500.1,-0.013,STABILIZE,0,1,0,,0,0,0
1785495037.9475808,42.229695,-1.235085,500.1,-0.013,GUIDED,0,1,0,,0,0,0
1785495038.449895,42.229695,-1.235085,500.08,-0.013,GUIDED,0,1,0,,0,0,0
1785495038.9518378,42.229695,-1.235085,500.08,-0.013,GUIDED,0,1,0,,0,0,0
1785495039.454028,42.229695,-1.235085,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495039.956329,42.229695,-1.235085,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495040.4582646,42.229695,-1.2350851,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495040.9606164,42.229695,-1.2350851,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495041.4626064,42.229695,-1.2350851,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495041.9653223,42.229695,-1.2350852,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495042.467213,42.229695,-1.2350852,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495042.9703224,42.229695,-1.2350851,500.08,0.007,GUIDED,0,1,0,,0,0,0
1785495043.472987,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785495043.9753425,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785495044.477186,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785495044.979517,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785495045.481308,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785495045.9837527,42.229695,-1.2350851,500.11,0.038,GUIDED,1,1,0,,0,0,0
1785495046.4856074,42.229695,-1.2350851,500.35,0.274,GUIDED,1,1,0,,0,0,0
1785495046.9873176,42.229695,-1.235085,500.94,0.867,GUIDED,1,1,0,,0,0,0
1785495047.4898899,42.229695,-1.2350849,501.86,1.787,GUIDED,1,1,0,,0,0,0
1785495047.9922564,42.229695,-1.2350849,502.92,2.844,GUIDED,1,1,0,,0,0,0
1785495048.4949448,42.229695,-1.2350848,504.17,4.098,GUIDED,1,1,0,,0,0,0
1785495048.9974267,42.229695,-1.2350848,505.71,5.632,GUIDED,1,1,0,,0,0,0
1785495049.5002356,42.229695,-1.2350847,506.96,6.882,GUIDED,1,1,0,,0,0,0
1785495050.0026727,42.229695,-1.2350847,508.45,8.373,GUIDED,1,1,0,,0,0,0
1785495050.5052183,42.229695,-1.2350847,509.69,9.616,GUIDED,1,1,0,,0,0,0
1785495051.0072944,42.229695,-1.2350847,511.18,11.109,GUIDED,1,1,0,,0,0,0
1785495051.5100148,42.229695,-1.2350847,512.43,12.353,GUIDED,1,1,0,,0,0,0
1785495052.0124183,42.229695,-1.2350848,513.68,13.603,GUIDED,1,1,0,,0,0,0
1785495052.5147586,42.229695,-1.2350848,515.18,15.103,GUIDED,1,1,0,,0,0,0
1785495053.0170655,42.229695,-1.2350848,516.43,16.352,GUIDED,1,1,0,,0,0,0
1785495053.5193422,42.229695,-1.2350847,517.92,17.848,GUIDED,1,1,0,,0,0,0
1785495054.021339,42.229695,-1.2350847,519.18,19.101,GUIDED,1,1,0,,0,0,0
1785495054.523568,42.229695,-1.2350847,520.43,20.356,GUIDED,1,1,0,,0,0,0
1785495055.025904,42.229695,-1.2350847,521.68,21.607,GUIDED,1,1,0,,0,0,0
1785495055.5285327,42.229695,-1.2350847,522.93,22.853,GUIDED,1,1,0,,0,0,0
1785495056.0310752,42.229695,-1.2350847,524.43,24.353,GUIDED,1,1,0,,0,0,0
1785495056.533237,42.229695,-1.2350847,525.68,25.604,GUIDED,1,1,0,,0,0,0
1785495057.035549,42.229695,-1.2350846,527.18,27.102,GUIDED,1,1,0,,0,0,0
1785495057.5379236,42.229695,-1.2350846,528.42,28.348,GUIDED,1,1,0,,0,0,0
1785495058.0401938,42.229695,-1.2350846,529.93,29.851,GUIDED,1,1,0,,0,0,0
1785495058.5429265,42.229695,-1.2350846,531.18,31.1,GUIDED,1,1,0,,0,0,0
1785495059.0453327,42.229695,-1.2350846,532.67,32.598,GUIDED,1,1,0,,0,0,0
1785495059.5472403,42.229695,-1.2350846,533.92,33.847,GUIDED,1,1,0,,0,0,0
1785495060.0495925,42.229695,-1.2350846,535.17,35.094,GUIDED,1,1,0,,0,0,0
1785495060.5514464,42.229695,-1.2350846,536.66,36.587,GUIDED,1,1,0,,0,0,0
