ts,lat,lon,alt_msl,rel_alt,mode,armed,wp_idx,obs_count,nearest_obs_dist_m,evasion_active,evasion_path_len,evasion_path_idx
1785495954.1683083,42.229695,-1.235085,500.1,-0.013,STABILIZE,0,1,0,,0,0,0
1785495954.6714277,42.229695,-1.235085,500.08,-0.013,GUIDED,0,1,0,,0,0,0
1785495955.1734774,42.229695,-1.235085,500.08,-0.013,GUIDED,0,1,0,,0,0,0
1785495955.6765544,42.229695,-1.235085,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495956.1788352,42.229695,-1.235085,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495956.681462,42.229695,-1.2350851,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495957.1832566,42.229695,-1.2350851,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495957.6856034,42.229695,-1.2350851,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495958.1875055,42.229695,-1.2350851,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495958.6899023,42.229695,-1.2350852,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495959.1921942,42.229695,-1.2350851,500.08,-0.012,GUIDED,0,1,0,,0,0,0
1785495959.694933,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785495960.1979556,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785495960.7003336,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785495961.2027688,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785495961.705097,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785495962.2081585,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785495962.7109957,42.229695,-1.2350851,500.12,0.048,GUIDED,1,1,0,,0,0,0
1785495963.2132893,42.229695,-1.2350851,500.4,0.321,GUIDED,1,1,0,,0,0,0
1785495963.7155077,42.229695,-1.235085,501.12,1.04,GUIDED,1,1,0,,0,0,0
1785495964.2181787,42.229695,-1.2350849,501.95,1.876,GUIDED,1,1,0,,0,0,0
1785495964.7207375,42.229695,-1.2350848,503.29,3.218,GUIDED,1,1,0,,0,0,0
1785495965.2233217,42.229695,-1.2350848,504.57,4.492,GUIDED,1,1,0,,0,0,0
1785495965.7256613,42.229695,-1.2350848,505.84,5.765,GUIDED,1,1,0,,0,0,0
1785495966.2282128,42.229695,-1.2350848,507.09,7.014,GUIDED,1,1,0,,0,0,0
1785495966.7306917,42.229695,-1.2350848,508.58,8.503,GUIDED,1,1,0,,0,0,0
1785495967.2327929,42.229695,-1.2350848,509.82,9.743,GUIDED,1,1,0,,0,0,0
1785495967.7348182,42.229695,-1.2350848,511.06,10.985,GUIDED,1,1,0,,0,0,0
1785495968.2372022,42.229695,-1.2350848,512.56,12.48,GUIDED,1,1,0,,0,0,0
1785495968.7399437,42.229695,-1.2350848,513.8,13.729,GUIDED,1,1,0,,0,0,0
1785495969.2424762,42.229695,-1.2350848,515.05,14.978,GUIDED,1,1,0,,0,0,0
1785495969.7446976,42.229695,-1.2350848,516.3,16.223,GUIDED,1,1,0,,0,0,0
1785495970.2474039,42.229695,-1.2350848,517.8,17.724,GUIDED,1,1,0,,0,0,0
1785495970.7497926,42.229695,-1.2350848,519.05,18.978,GUIDED,1,1,0,,0,0,0
1785495971.2517893,42.229695,-1.2350848,520.31,20.23,GUIDED,1,1,0,,0,0,0
1785495971.7536228,42.229695,-1.2350847,521.8,21.727,GUIDED,1,1,0,,0,0,0
1785495972.2560165,42.229695,-1.2350847,523.05,22.977,GUIDED,1,1,0,,0,0,0
1785495972.7586641,42.229695,-1.2350847,524.3,24.227,GUIDED,1,1,0,,0,0,0
1785495973.2613301,42.229695,-1.2350847,525.8,25.725,GUIDED,1,1,0,,0,0,0
