ts,lat,lon,alt_msl,rel_alt,mode,armed,wp_idx,obs_count,nearest_obs_dist_m,evasion_active,evasion_path_len,evasion_path_idx
1785498846.8933537,42.229695,-1.2350851,500.08,-0.012,STABILIZE,0,1,0,,0,0,0
1785498847.3970478,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785498847.8994863,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785498848.4019413,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785498848.9041903,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785498849.4066947,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785498849.9095306,42.229695,-1.2350851,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785498850.4118767,42.229695,-1.2350851,500.12,0.048,GUIDED,1,1,0,,0,0,0
1785498850.9137225,42.229695,-1.2350851,500.53,0.455,GUIDED,1,1,0,,0,0,0
1785498851.4160979,42.229695,-1.235085,501.13,1.055,GUIDED,1,1,0,,0,0,0
1785498851.9184866,42.229695,-1.2350849,502.15,2.076,GUIDED,1,1,0,,0,0,0
1785498852.4201396,42.229695,-1.2350848,503.29,3.211,GUIDED,1,1,0,,0,0,0
1785498852.9224324,42.229695,-1.2350848,504.82,4.745,GUIDED,1,1,0,,0,0,0
1785498853.4252708,42.229695,-1.2350848,506.09,6.014,GUIDED,1,1,0,,0,0,0
1785498853.9277172,42.229695,-1.2350848,507.58,7.506,GUIDED,1,1,0,,0,0,0
1785498854.429802,42.229695,-1.2350847,508.82,8.746,GUIDED,1,1,0,,0,0,0
1785498854.9315968,42.229695,-1.2350847,510.3,10.229,GUIDED,1,1,0,,0,0,0
1785498855.434227,42.229695,-1.2350847,511.54,11.467,GUIDED,1,1,0,,0,0,0
1785498855.936484,42.229695,-1.2350848,513.03,12.959,GUIDED,1,1,0,,0,0,0
1785498856.4391406,42.229695,-1.2350848,514.54,14.46,GUIDED,1,1,0,,0,0,0
1785498856.941396,42.229695,-1.2350848,515.79,15.712,GUIDED,1,1,0,,0,0,0
1785498857.4435952,42.229695,-1.2350848,517.04,16.962,GUIDED,1,1,0,,0,0,0
1785498857.945711,42.229695,-1.2350848,518.54,18.46,GUIDED,1,1,0,,0,0,0
1785498858.447534,42.229695,-1.2350848,519.79,19.713,GUIDED,1,1,0,,0,0,0
1785498858.9499354,42.229695,-1.2350848,521.29,21.217,GUIDED,1,1,0,,0,0,0
